period,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,district,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Jan 2012,0,1,0,0,0,0,0,0,8,2,1,0,1,0,0,0,0,1,0,0,0,1,0,7,3,0,1,0
Feb 2012,0,1,0,0,0,0,0,0,10,2,1,0,3,0,0,0,0,1,0,0,0,1,0,9,3,0,1,0
Mar 2012,0,2,0,0,0,0,0,0,12,2,1,0,3,0,0,0,0,0,0,0,0,2,0,10,4,0,2,0
Apr 2012,0,2,0,0,0,0,0,0,13,2,1,0,3,0,0,0,0,1,0,0,0,2,0,11,4,0,2,0
May 2012,0,2,0,0,0,0,0,0,15,2,0,0,6,0,0,0,0,1,0,0,0,2,0,13,5,0,1,0
Jun 2012,0,2,0,0,0,0,0,0,15,2,0,1,6,0,0,0,0,1,0,0,0,2,0,13,4,0,1,0
Jul 2012,0,2,0,0,0,0,0,0,16,2,2,1,6,0,0,0,0,0,0,0,0,2,0,14,4,0,1,0
Aug 2012,0,2,0,0,0,0,0,0,17,2,2,1,6,0,0,0,0,0,0,0,0,2,0,15,5,0,1,0
Sep 2012,0,2,0,0,0,0,0,0,18,2,3,1,6,0,0,0,0,0,0,0,0,2,0,16,5,0,1,0
Oct 2012,0,2,0,0,0,0,0,0,20,2,2,2,7,0,0,0,0,0,0,0,0,2,0,18,6,0,1,0
Nov 2012,0,3,0,0,0,0,0,0,21,2,2,2,7,0,0,0,0,0,0,0,0,3,0,18,6,0,1,0
Dec 2012,0,3,0,0,0,0,0,0,23,2,3,2,7,0,0,0,0,0,0,0,0,3,0,20,7,0,1,0
Jan 2013,0,3,0,0,0,0,0,0,19,2,1,1,7,0,0,1,0,0,0,0,0,2,1,16,5,0,1,0
Feb 2013,0,4,0,0,0,0,0,0,18,2,0,0,8,0,0,1,0,0,0,0,0,2,2,14,4,0,1,0
Mar 2013,0,6,0,0,0,0,0,0,19,2,1,1,6,0,0,0,0,0,0,0,0,4,2,13,4,0,1,0
Apr 2013,0,6,0,0,0,0,0,0,18,2,1,0,6,0,0,0,0,0,0,0,0,4,2,12,4,0,1,0
May 2013,0,6,0,0,0,0,0,0,20,2,2,1,6,0,0,0,0,0,0,0,0,4,2,14,4,0,1,0
Jun 2013,0,4,0,0,0,0,0,0,18,2,1,0,6,1,0,0,0,0,0,0,0,3,1,13,4,0,1,1
Jul 2013,0,3,0,0,0,0,0,0,16,2,0,2,5,1,0,0,0,0,1,0,0,2,0,12,3,0,1,1
Aug 2013,0,5,0,0,0,0,0,0,18,2,1,2,4,1,0,1,0,0,2,0,0,3,0,13,3,0,1,0
Sep 2013,0,7,0,0,0,0,0,0,20,2,2,1,3,1,0,1,0,0,2,0,0,5,0,13,4,0,1,0
Oct 2013,0,8,0,0,0,0,0,0,20,2,0,1,5,1,0,0,0,0,3,0,0,5,0,12,4,0,1,0
Nov 2013,0,6,0,0,0,0,0,0,18,2,0,2,5,1,0,0,0,0,2,0,0,4,0,12,3,0,1,0
Dec 2013,0,6,0,0,0,0,0,0,17,2,0,1,4,1,0,0,0,0,3,0,0,3,0,11,4,0,1,0
Jan 2014,0,7,0,0,0,0,0,0,17,2,0,1,3,1,0,0,0,0,3,0,0,4,0,10,5,0,0,0
Feb 2014,0,8,0,0,0,0,0,1,17,2,0,1,2,1,0,0,0,0,3,0,0,4,0,9,5,0,0,0
Mar 2014,0,7,0,0,0,0,0,1,17,2,3,1,1,0,0,0,0,0,3,0,0,3,0,10,5,0,0,0
Apr 2014,0,7,0,0,0,0,0,1,19,2,3,1,1,0,0,0,0,0,3,0,0,3,0,12,7,0,0,0
May 2014,0,8,0,0,0,0,0,1,20,2,3,0,1,0,0,0,0,0,3,0,0,4,0,12,8,0,0,0
Jun 2014,0,6,0,0,0,0,0,2,20,2,3,0,2,0,0,0,0,0,2,0,0,2,0,14,9,0,0,0
Jul 2014,0,5,0,0,0,0,0,2,21,2,3,0,4,0,0,0,0,0,1,0,0,2,0,16,8,0,1,0
Aug 2014,0,5,0,0,0,0,0,0,22,2,3,0,5,0,0,0,0,0,1,0,0,4,0,17,8,0,1,0
Sep 2014,0,5,0,0,0,0,0,0,21,2,0,0,6,1,0,0,0,0,1,0,0,4,0,16,7,0,2,0
Oct 2014,0,4,0,0,0,0,0,0,21,2,1,0,6,1,0,0,0,0,1,0,0,3,0,17,7,0,2,0
Nov 2014,0,4,0,0,0,0,0,0,22,2,1,0,6,1,0,0,0,1,1,0,0,3,0,18,7,0,2,0
Dec 2014,0,5,0,0,0,0,0,1,23,2,0,0,5,1,0,0,0,0,1,0,0,3,0,18,9,0,3,0
Jan 2015,0,5,0,0,0,0,0,1,25,2,1,1,4,1,0,0,0,0,1,0,0,3,0,20,11,0,2,0
Feb 2015,0,4,0,0,0,0,0,1,24,2,1,1,3,2,0,0,0,0,0,0,0,3,0,20,11,0,2,0
Mar 2015,0,5,0,0,0,0,0,2,25,2,1,1,2,2,0,0,0,1,0,0,0,3,0,20,11,0,2,0
Apr 2015,0,5,0,0,0,0,0,2,25,2,1,2,2,2,0,0,0,0,0,0,0,3,0,20,11,0,2,0
May 2015,0,4,0,0,0,0,0,3,23,2,1,2,3,2,0,0,0,0,0,0,0,1,0,19,10,0,1,0
Jun 2015,0,3,0,0,0,0,0,2,20,2,0,3,2,2,0,0,0,1,0,0,0,1,0,17,8,0,1,0
Jul 2015,0,3,0,0,0,0,0,2,20,2,2,2,2,2,0,0,0,1,0,0,0,1,0,17,7,0,1,0
Aug 2015,0,5,0,0,0,0,0,3,20,2,2,1,3,2,0,0,0,1,0,0,0,2,0,15,6,0,0,0
Sep 2015,0,5,0,0,0,0,0,3,18,2,0,1,4,2,0,0,0,1,0,0,0,2,0,13,5,0,0,0
Oct 2015,0,4,0,0,0,0,0,2,13,2,0,1,4,0,0,0,0,2,0,0,0,2,0,9,2,0,0,0
Nov 2015,0,3,0,0,0,0,0,2,12,2,0,1,4,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0
Dec 2015,0,5,0,0,0,0,0,4,12,2,0,0,3,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0
Jan 2016,0,2,0,0,0,0,0,1,11,2,1,0,3,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Feb 2016,0,2,0,0,0,0,0,1,11,2,1,0,3,0,0,0,0,0,0,0,0,1,0,9,4,0,1,0
Mar 2016,0,1,0,0,0,0,0,0,11,2,3,0,3,0,0,0,0,0,0,0,0,1,0,10,4,0,0,0
Apr 2016,0,1,0,0,0,0,0,0,10,2,2,0,3,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0
May 2016,0,1,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,1,0,0,0,1,0,10,4,0,0,0
Jun 2016,0,2,0,0,0,0,0,1,11,2,2,1,1,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Jul 2016,0,2,0,0,0,0,0,1,11,2,1,1,1,1,0,0,0,0,0,0,0,1,0,9,5,0,0,0
