period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jan 2012,19,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,18,1,9,6,0,0
Feb 2012,25,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,3,0,0,0,23,1,11,8,0,0
Mar 2012,27,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,1,3,0,0,0,25,1,12,7,0,0
Apr 2012,30,0,1,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0,3,0,0,0,27,2,13,8,0,0
May 2012,35,2,1,0,0,0,0,3,0,2,0,3,0,0,0,0,0,3,3,0,0,0,32,2,11,11,0,0
Jun 2012,38,3,1,0,0,0,0,3,0,4,0,3,0,0,0,0,0,2,3,0,0,0,35,2,11,12,0,0
Jul 2012,39,3,1,0,0,0,0,3,0,4,0,3,0,0,0,0,0,2,3,0,0,0,36,2,13,11,0,0
Aug 2012,47,3,1,0,0,0,0,12,0,7,0,4,0,0,0,0,0,0,3,0,0,0,43,3,14,7,0,0
Sep 2012,49,3,1,0,0,0,0,12,0,7,0,4,0,0,0,0,0,1,3,0,0,0,45,3,13,9,0,0
Oct 2012,58,3,1,0,0,0,0,14,0,7,0,4,0,0,0,0,0,6,3,0,0,0,54,3,13,11,0,0
Nov 2012,65,3,1,0,0,0,0,20,0,9,0,3,0,0,0,0,0,1,3,0,0,0,62,2,15,14,0,0
Dec 2012,71,3,1,0,0,0,0,23,0,10,0,3,0,0,0,0,0,1,3,0,0,0,68,2,15,16,0,0
Jan 2013,74,2,1,0,0,0,0,25,0,7,0,3,0,0,0,0,0,6,3,0,0,0,71,2,17,14,0,0
Feb 2013,82,2,2,0,0,0,0,30,0,9,0,4,0,0,0,0,0,3,3,0,0,0,78,2,16,18,0,0
Mar 2013,78,3,3,0,0,0,0,29,0,10,0,5,0,0,0,0,0,0,3,0,0,0,73,2,16,15,0,0
Apr 2013,89,3,3,1,0,0,0,30,0,12,0,6,0,0,0,0,0,1,3,0,0,0,83,2,20,17,0,0
May 2013,87,3,4,1,0,0,0,26,0,11,0,8,0,0,0,0,0,3,3,0,1,0,79,2,21,15,0,0
Jun 2013,74,3,3,2,0,0,0,20,0,13,0,8,0,0,0,0,0,1,3,0,1,0,66,2,18,11,0,0
